year,state,house,senate,pres,pres & senate,pres & sen & house
1996,MD,528,0,100,100,628
1996,MA,277221,223,47,204,277425
1996,MI,1143,86,121,116,1259
1996,MN,807,182,99,169,976
1996,MS,328,36,340,297,625
1996,MO,1371,0,269,269,1640
1996,MT,177,361,680,529,706
1996,NE,163,108,85,106,269
1996,NV,324,0,4056,4056,4380
1996,NH,785,638,163,507,1292
1996,NJ,1696,161,89,161,1857
1996,NM,260,45,228,208,468
1996,NY,247563,0,53,53,247616
1996,NC,1194,250,376,330,1524
1996,ND,136,0,247,247,383
1996,OH,2872,0,266,266,3138
1996,OK,644,96,213,195,839
1996,OR,735,468,205,396,1131
1996,PA,249368,0,178,178,249546
1996,RI,86,55,48,58,144
1996,SC,372,175,293,263,635
1996,SD,76,761,540,635,711
1996,TN,611,64,862,904,1515
1996,TX,2340,150,355,309,2649
1996,UT,640,0,75,75,715
1996,VT,70,0,71,71,141
1996,VA,428,343,1158,1501,1929
1996,WA,261150,0,128,128,261278
1996,WV,73,29,108,104,177
1996,WI,2565,0,157,157,2722
1996,WY,111,136,124,129,240
1996,DC,0,0,21,21,21
1996,USA,1587104,1708698,24534,1728817,3315921
1998,AL,372,59,0,59,431
1998,AK,56,29,0,29,85
1998,AZ,624,38,0,38,662
1998,AR,247,125,0,125,372
1998,CA,5125,162,0,162,5287
1998,CO,1167,57,0,57,1224
1998,CT,2113,48,0,48,2161
1998,FL,665,63,0,63,728
1998,GA,640,232,0,232,872
1998,HI,97,26,0,26,123
1998,ID,366,38,0,38,404
1998,IL,1440,673,0,673,2113
1998,IN,1444,54,0,54,1498
1998,IA,424,41,0,41,465
1998,KS,546,47,0,47,593
1998,KY,1174,1145414,0,1145414,1146588
1998,LA,1905,48,0,48,1953
1998,MD,361,38,0,38,399
1998,MO,452,185,0,185,637
1998,NV,539,435864,0,435864,436403
1998,NH,243,40,0,40,283
1998,NY,2588,113,0,113,2701
1998,NC,1501,435,0,435,1936
1998,ND,106,56,0,56,162
1998,OH,1191,124,0,124,1315
1998,OK,382,45,0,45,427
1998,OR,877,58,0,58,935
1998,PA,174329,59,0,59,174388
1998,SC,343,239,0,239,582
1998,SD,31,61,0,61,92
1998,UT,244,51,0,51,295
1998,VT,51,31,0,31,82
1998,WA,953,94,0,94,1047
1998,WI,860,1013,0,1013,1873
1998,DE,45,0,0,0,45
1998,ME,93,0,0,0,93
1998,MA,456,0,0,0,456
1998,MI,1110,0,0,0,1110
1998,MN,975,0,0,0,975
1998,MS,323,0,0,0,323
1998,MT,190,0,0,0,190
1998,NE,106,0,0,0,106
1998,NJ,1423,0,0,0,1423
1998,NM,523,0,0,0,523
1998,RI,73,0,0,0,73
1998,TN,445,0,0,0,445
1998,TX,1722,0,0,0,1722
1998,VA,350,0,0,0,350
1998,WV,74,0,0,0,74
1998,WY,83,0,0,0,83
1998,DC,0,0,0,0,0
1998,USA,211447,1585660,0,1585660,1797107
2000,AL,219,0,107,107,326
2000,AK,30,0,51,51,81
2000,AZ,402,22,270,242,644
2000,AR,1368,0,317,317,1685
2000,CA,9166,82,137,129,9295
2000,CO,359,0,198,198,557
2000,CT,226294,54,91,88,226382
2000,DE,43,136,123,129,172
2000,FL,213569,362,5963110,5963110,6176679
2000,GA,824,0,137,137,961
2000,HI,100,32,86,83,183
2000,ID,82,0,40,40,122
2000,IL,2060,0,134,134,2194
2000,IN,1282,45,102,98,1380
2000,IA,357,0,1353022,1353022,1353379
2000,KS,791,0,76,76,867
2000,KY,606,0,105,105,711
2000,LA,196,0,217,217,413
2000,ME,101,41,341,298,399
2000,MD,556,59,98,94,650
2000,MA,330,28,58,57,387
2000,MI,298282,1568,339,1907,300189
2000,MN,290971,311,865,913,291884
2000,MS,229,46,94,90,319
2000,MO,912,1064,565,1629,2541
2000,MT,332,569,63,459,791
2000,NE,113,988,54,1042,1155
2000,NV,267,104,525,429,696
2000,NH,315,0,2440,2440,2755
2000,NJ,300712,641,101,533,301245
2000,NM,380,67,598605,598605,598985
2000,NY,2158,134,65,127,2285
2000,NC,744,0,125,125,869
2000,ND,197,69,57,67,264
2000,OH,1082,65,524,429,1511
2000,OK,344,0,72,72,416
2000,OR,306,0,1533950,1533950,1534256
2000,PA,1600,243,432,365,1965
2000,RI,85,101,54,102,187
2000,SC,342,0,100,100,442
2000,SD,32,0,69,69,101
2000,TN,321,48,473,394,715
2000,TX,1599,48,74,72,1671
2000,UT,220,46,39,45,265
2000,VT,31,39,164,153,184
2000,VA,840,387,206,335,1175
2000,WA,1026,2461379,308,2461687,2462713
2000,WV,830,27,268,241,1071
2000,WI,1082,64,2598607,2598607,2599689
2000,WY,41,30,38,38,79
2000,DC,0,0,21,21,21
2000,USA,1364128,2468899,12058117,14523778,15887906
2002,AL,1240,84,0,84,1324
2002,AK,27,23,0,23,50
2002,AR,156,213,0,213,369
2002,CO,173233,355,0,355,173588
2002,DE,34,91,0,91,125
2002,GA,5045,246,0,246,5291
2002,ID,121,48,0,48,169
2002,IL,889,71,0,71,960
2002,IA,772,156,0,156,928
2002,KS,730,21,0,21,751
2002,KY,1263,53,0,53,1316
2002,LA,590,1450,0,1450,2040
2002,ME,509,94,0,94,603
2002,MA,399,28,0,28,427
2002,MI,683,69,0,69,752
2002,MN,497,982,0,982,1479
2002,MS,246,23,0,23,269
2002,MT,49,51,0,51,100
2002,NE,92,23,0,23,115
2002,NH,181,403,0,403,584
2002,NJ,594,164,0,164,758
2002,NM,297,52,0,52,349
2002,NC,875,191,0,191,1066
2002,OK,452,75,0,75,527
2002,OR,350,96,0,96,446
2002,RI,99,28,0,28,127
2002,SC,188,159,0,159,347
2002,SD,211,337501,0,337501,337712
2002,TN,595,164,0,164,759
2002,TX,2581,135,0,135,2716
2002,VA,369,22,0,22,391
2002,WV,134,60,0,60,194
2002,WY,65,34,0,34,99
2002,AZ,903,0,0,0,903
2002,CA,2548,0,0,0,2548
2002,CT,493,0,0,0,493
2002,FL,2552,0,0,0,2552
2002,HI,131,0,0,0,131
2002,IN,1456,0,0,0,1456
2002,MD,843,0,0,0,843
2002,MO,407,0,0,0,407
2002,NV,263,0,0,0,263
2002,NY,2207,0,0,0,2207
2002,ND,365,0,0,0,365
2002,OH,841,0,0,0,841
2002,PA,2643,0,0,0,2643
2002,UT,17328,0,0,0,17328
2002,VT,49,0,0,0,49
2002,WA,919,0,0,0,919
2002,WI,292,0,0,0,292
2002,DC,0,0,0,0,0
2002,USA,227806,343165,0,343165,570971
2004,AL,279,45,61,60,339
2004,AK,32,637,62,509,541
2004,AZ,429,28,155,146,575
2004,AR,234,136,167,156,390
2004,CA,2546,79,164,153,2699
2004,CO,1049,369,378,326,1375
2004,CT,696,46,157,147,843
2004,DE,40,0,219,219,259
2004,FL,1009,3245,349,3594,4603
2004,GA,943,89,96,92,1035
2004,HI,116,29,188,174,290
2004,ID,78,16,41,40,118
2004,IL,1416,36,157,147,1563
2004,IN,288218,64,76,74,288292
